"数据年月","商品编码","商品名称","美元",
"202603","8471","自动数据处理设备及其部件；其他品目未列名的磁性或光学阅读机、将数据以代码形式转录到数据记录媒体的机器及处理这些数据的机器","15,127,701,167",
"202603","8479","本章其他品目未列名的具有独立功能的机器及机械器具","1,560,615,062",
"202603","8507","蓄电池，包括隔板，不论是否矩形（包括正方形）","10,161,136,015",
"202603","8517","电话机，包括用于蜂窝网络或其他无线网络的智能手机及其他电话机；其他发送或接收声音、图像或其他数据用的设备，包括有线或无线网络（例如，局域网或广域网）的通信设备，品目8443、8525、8527或8528的发送或接收设备除外","17,902,027,906",
"202603","8525","无线电广播、电视发送设备，不论是否装有接收装置或声音的录制、重放装置；电视摄像机、数字照相机及视频摄录一体机","1,032,632,386",
"202603","8526","雷达设备、无线电导航设备及无线电遥控设备","219,402,814",
"202603","8529","专用于或主要用于品目8524至8528所列装置或设备的零件","1,764,732,092",
"202603","8537","用于电气控制或电力分配的盘、板、台、柜及其他基座，装有两个或多个品目8535或8536所列的装置，包括装有第90章所列仪器或装置，以及数控装置，但品目8517的交换机除外","1,408,744,987",
"202603","8541","半导体器件（例如，二极管、晶体管，半导体基换能器）；光敏半导体器件，包括不论是否装在组件内或组装成块的光电池；发光二极管（LED），不论是否与其他发光二极管（LED）组装；已装配的压电晶体","6,553,093,994",
"202603","8542","集成电路","29,175,991,315",
"202603","9018","医疗、外科、牙科或兽医用仪器及器具，包括闪烁扫描装置、其他电气医疗装置及视力检查仪器","1,043,320,909",
"202603","9027","理化分析仪器及装置（例如，偏振仪、折光仪、分光仪、气体或烟雾分析仪）；测量或检验黏性、多孔性、膨胀性、表面张力及类似性能的仪器及装置；测量或检验热量、声量或光量的仪器及装置（包括曝光表）；检镜切片机","307,768,470",
"202603","9504","视频游戏控制器及设备，桌上或室内游戏，包括弹球机、台球、娱乐专用桌及保龄球自动球道设备，用硬币、钞票、银行卡、代币或任何其他支付方式使其工作的游乐机器","607,243,322",
"202604","8471","自动数据处理设备及其部件；其他品目未列名的磁性或光学阅读机、将数据以代码形式转录到数据记录媒体的机器及处理这些数据的机器","14,721,680,275",
"202604","8479","本章其他品目未列名的具有独立功能的机器及机械器具","1,834,144,755",
"202604","8507","蓄电池，包括隔板，不论是否矩形（包括正方形）","8,421,904,645",
"202604","8517","电话机，包括用于蜂窝网络或其他无线网络的智能手机及其他电话机；其他发送或接收声音、图像或其他数据用的设备，包括有线或无线网络（例如，局域网或广域网）的通信设备，品目8443、8525、8527或8528的发送或接收设备除外","17,677,433,976",
"202604","8525","无线电广播、电视发送设备，不论是否装有接收装置或声音的录制、重放装置；电视摄像机、数字照相机及视频摄录一体机","1,414,149,797",
"202604","8526","雷达设备、无线电导航设备及无线电遥控设备","243,150,195",
"202604","8529","专用于或主要用于品目8524至8528所列装置或设备的零件","1,833,363,438",
"202604","8537","用于电气控制或电力分配的盘、板、台、柜及其他基座，装有两个或多个品目8535或8536所列的装置，包括装有第90章所列仪器或装置，以及数控装置，但品目8517的交换机除外","1,582,493,953",
"202604","8541","半导体器件（例如，二极管、晶体管，半导体基换能器）；光敏半导体器件，包括不论是否装在组件内或组装成块的光电池；发光二极管（LED），不论是否与其他发光二极管（LED）组装；已装配的压电晶体","4,975,472,778",
"202604","8542","集成电路","31,126,564,708",
