"数据年月","商品编码","商品名称","美元",
"202603","854142","未装在组件内或组装成块的光电池","914,854,951",
"202603","854143","已装在组件内或组装成块的光电池","3,610,181,274",
"202603","854232","存储器","19,140,147,288",
"202604","854142","未装在组件内或组装成块的光电池","682,993,585",
"202604","854143","已装在组件内或组装成块的光电池","2,441,160,094",
"202604","854232","存储器","21,791,752,975",
"202605","854142","未装在组件内或组装成块的光电池","441,486,310",
"202605","854143","已装在组件内或组装成块的光电池","1,788,783,090",
"202605","854232","存储器","26,640,781,264",
"202606","854142","未装在组件内或组装成块的光电池","339,391,754",
"202606","854143","已装在组件内或组装成块的光电池","2,149,244,135",
"202606","854232","存储器","28,514,441,772",
"202607","854142","未装在组件内或组装成块的光电池","260,899,257",
"202607","854143","已装在组件内或组装成块的光电池","1,873,697,203",
"202607","854232","存储器","28,637,416,374",
