"数据年月","商品编码","商品名称","美元",
"202603","854142","未装在组件内或组装成块的光电池","41,066,013",
"202603","854143","已装在组件内或组装成块的光电池","6,294,510",
"202603","854232","存储器","23,326,515,241",
"202604","854142","未装在组件内或组装成块的光电池","34,674,738",
"202604","854143","已装在组件内或组装成块的光电池","7,756,687",
"202604","854232","存储器","26,796,570,284",
"202605","854142","未装在组件内或组装成块的光电池","45,660,716",
"202605","854143","已装在组件内或组装成块的光电池","2,268,392",
"202605","854232","存储器","30,770,692,765",
"202606","854142","未装在组件内或组装成块的光电池","32,502,460",
"202606","854143","已装在组件内或组装成块的光电池","2,464,122",
"202606","854232","存储器","32,042,137,761",
"202607","854142","未装在组件内或组装成块的光电池","50,622,485",
"202607","854143","已装在组件内或组装成块的光电池","2,889,588",
"202607","854232","存储器","34,773,307,579",
